ID,Name,Capacity,Outline
CL001,Classroom 1,18,1
CL002,Classroom 2,16,1
CL003,Classroom 3,16,1
CL004,Classroom 4,18,1
CL005,Classroom 5,24,1
CL006,Classroom 6,18,1
CL007,Classroom 7,16,1
CL008,Classroom 8,14,1
CL009,Classroom 9,8,1
MHA001,Mission Hill Auditorium,90,1
MHCR001,Mission Hill Conference Room,16,1
PNTRY,Pantry,64,1
WZ4D01,Work Zone 4 Desk 1,3,0
WZ4D02,Work Zone 4 Desk 2,4,0
WZ3T01,Work Zone 3 Table 1,3,0
WZ3T02,Work Zone 3 Table 2,3,0
WZ3T03,Work Zone 3 Table 3,4,0
WZ3R01,Work Zone 3 Room 1,2,0
WZ3R02,Work Zone 3 Room 2,2,0
WZ3R03,Work Zone 3 Room 3,2,0
WZ3R04,Work Zone 3 Room 4,2,0
WZ3R05,Work Zone 3 Room 5,2,0
WZ3R06,Work Zone 3 Room 6,2,0
WZ3D01,Work Zone 3 Desk 1,1,0
WZ3D02,Work Zone 3 Desk 2,1,0
WZ3D03,Work Zone 3 Desk 3,1,0
WZ3D04,Work Zone 3 Desk 4,1,0
WZ3D05,Work Zone 3 Desk 5,1,0
WZ3D06,Work Zone 3 Desk 6,1,0
WZ3D07,Work Zone 3 Desk 7,1,0
WZ3D08,Work Zone 3 Desk 8,1,0
WZ3D09,Work Zone 3 Desk 9,1,0
WZ3D10,Work Zone 3 Desk 10,1,0
WZ3D11,Work Zone 3 Desk 11,1,0
WZ3D12,Work Zone 3 Desk 12,1,0
WZ3D13,Work Zone 3 Desk 13,1,0
WZ3D14,Work Zone 3 Desk 14,1,0
WZ3D15,Work Zone 3 Desk 15,1,0
WZ3D16,Work Zone 3 Desk 16,1,0
WZ1R01,Work Zone 1 Room 1,4,0
WZ1R02,Work Zone 1 Room 2,4,0
WZ1R03,Work Zone 1 Room 3,4,0
WZ1R04,Work Zone 1 Room 4,19,0
WZ1D01,Work Zone 1 Desk 1,1,0
WZ1D02,Work Zone 1 Desk 2,1,0
WZ1D03,Work Zone 1 Desk 3,1,0
WZ1D04,Work Zone 1 Desk 4,1,0
WZ1D05,Work Zone 1 Desk 5,1,0
WZ1D06,Work Zone 1 Desk 6,1,0
WZ1D07,Work Zone 1 Desk 7,1,0
WZ1D08,Work Zone 1 Desk 8,1,0
WZ1D09,Work Zone 1 Desk 9,1,0
WZ1D10,Work Zone 1 Desk 10,1,0
WZ1D11,Work Zone 1 Desk 11,1,0
WZ1D12,Work Zone 1 Desk 12,1,0
WZ1D13,Work Zone 1 Desk 13,1,0
WZ1D14,Work Zone 1 Desk 14,1,0
WZ1D15,Work Zone 1 Desk 15,1,0
WZ1D16,Work Zone 1 Desk 16,1,0
WZ1D17,Work Zone 1 Desk 17,1,0
WZ1D18,Work Zone 1 Desk 18,1,0
WZ1D19,Work Zone 1 Desk 19,1,0
WZ1D20,Work Zone 1 Desk 20,1,0
WZ1D21,Work Zone 1 Desk 21,1,0
WZ1D22,Work Zone 1 Desk 22,1,0
WZ2D01,Work Zone 2 Desk 1,1,0
WZ2D02,Work Zone 2 Desk 2,1,0
WZ2D03,Work Zone 2 Desk 3,1,0
WZ2D04,Work Zone 2 Desk 4,1,0
WZ2D05,Work Zone 2 Desk 5,1,0
WZ2D06,Work Zone 2 Desk 6,1,0
WZ2D07,Work Zone 2 Desk 7,1,0
WZ2D08,Work Zone 2 Desk 8,1,0
WZ2D09,Work Zone 2 Desk 9,1,0
WZ5R01,Work Zone 5 Room 1,6,0
WZ5R02,Work Zone 1 Room 2,2,0
WZ5R03,Work Zone 5 Room 2,2,0
WZ5R04,Work Zone 1 Room 3,2,0
WZ5R05,Work Zone 5 Room 3,2,0
WZ5T01,Work Zone 5 Table 1,2,0
WZ5T02,Work Zone 5 Table 2,3,0
WZ5T03,Work Zone 5 Table 3,3,0
WZ5D01,Work Zone 5 Desk 1,1,0
WZ5D02,Work Zone 5 Desk 2,1,0
WZ5D03,Work Zone 5 Desk 3,1,0
WZ5D04,Work Zone 5 Desk 4,1,0
WZ5D05,Work Zone 5 Desk 5,1,0
WZ5D06,Work Zone 5 Desk 6,1,0
WZ5D07,Work Zone 5 Desk 7,1,0
WZ5D08,Work Zone 5 Desk 8,1,0
WZ5D09,Work Zone 5 Desk 9,1,0
WZ5D10,Work Zone 5 Desk 10,1,0
WZ5D11,Work Zone 5 Desk 11,1,0
WZ5D12,Work Zone 5 Desk 12,1,0
WZ5D13,Work Zone 5 Desk 13,1,0
WZ5D14,Work Zone 5 Desk 14,1,0
WZ5D15,Work Zone 5 Desk 15,1,0
WZ5D16,Work Zone 5 Desk 16,1,0
